id,name,SOUNAME
10404,Gerersdorf-Sulz,GÜSSING
10405,Güssing,GÜSSING
10407,Heiligenbrunn,GÜSSING
10410,Neustift bei Güssing,GÜSSING
10416,Strem,GÜSSING
10417,Tobaj,GÜSSING
10420,Großmürbisch,GÜSSING
10421,Inzenhof,GÜSSING
10422,Kleinmürbisch,GÜSSING
30101,Krems an der Donau,KREMS
31304,Dürnstein,KREMS
31309,Furth bei Göttweig,KREMS
31310,Gedersdorf,KREMS
31322,Langenlois,KREMS
31323,Lengenfeld,KREMS
31327,Mautern an der Donau,KREMS
31337,Rohrendorf bei Krems,KREMS
31343,Senftenberg,KREMS
31347,Stratzing,KREMS
10706,Gattendorf,NEUSIEDL AM SEE
10707,Gols,NEUSIEDL AM SEE
10710,Jois,NEUSIEDL AM SEE
10713,Neusiedl am See,NEUSIEDL AM SEE
10717,Parndorf,NEUSIEDL AM SEE
10722,Weiden am See,NEUSIEDL AM SEE
10724,Zurndorf,NEUSIEDL AM SEE
10725,Neudorf,NEUSIEDL AM SEE
30826,Hauskirchen,POYSDORF
31608,Falkenstein,POYSDORF
31617,Großkrut,POYSDORF
31621,Herrnbaumgarten,POYSDORF
31633,Mistelbach,POYSDORF
31644,Poysdorf,POYSDORF
31649,Staatz,POYSDORF
31654,Wilfersdorf,POYSDORF
