Litschau;557m;21.7°;43 %;Nordwest, 8 km/h;31 km/h;0.0 mm;86 %;1016.9 hPa;2022-05-21 16:50:03
Weitra;570m;21.6°;38 %;West, 17 km/h;43 km/h;0.0 mm;99 %;1016.9 hPa;2022-05-21 16:50:03
Zwettl;505m;21.9°;37 %;Nordwest, 5 km/h;40 km/h;0.0 mm;100 %;1017.2 hPa;2022-05-21 16:50:03
Raabs/Thaya;456m;22.5°;39 %;West, 12 km/h;32 km/h;0.0 mm;74 %;1016.4 hPa;2022-05-21 16:50:03
Allentsteig;607m;20.7°;39 %;West, 14 km/h;43 km/h;0.0 mm;99 %;1017.0 hPa;2022-05-21 16:50:03
Horn;309m;23.3°;36 %;West, 32 km/h;50 km/h;0.0 mm;100 %;1014.9 hPa;2022-05-21 16:50:03
Gars am Kamp;275m;23.6°;35 %;Nordwest, 23 km/h;48 km/h;0.0 mm;99 %;1016.4 hPa;2022-05-21 16:50:03
Langenlois;209m;25.4°;30 %;West, 24 km/h;43 km/h;0.0 mm;100 %;1017.2 hPa;2022-05-21 16:50:03
Krems;203m;25.0°;32 %;Südwest, 17 km/h;40 km/h;0.0 mm;100 %;1016.7 hPa;2022-05-21 16:50:03
Bärnkopf;971m;17.9°;45 %;Südwest, 11 km/h;45 km/h;0.0 mm;99 %;k.A.;2022-05-21 16:50:03
Jauerling;961m;18.5°;45 %;West, 30 km/h;67 km/h;0.0 mm;100 %;k.A.;2022-05-21 16:50:03
Retz;320m;23.1°;38 %;West, 25 km/h;35 km/h;0.0 mm;65 %;1016.1 hPa;2022-05-21 16:50:03
Laa an der Thaya;184m;25.3°;34 %;Nordwest, 13 km/h;39 km/h;0.0 mm;100 %;1016.2 hPa;2022-05-21 16:50:03
Poysdorf;206m;24.0°;35 %;West, 14 km/h;34 km/h;0.0 mm;90 %;1016.2 hPa;2022-05-21 16:50:03
Hohenau;151m;24.5°;31 %;Nordwest, 16 km/h;44 km/h;0.0 mm;91 %;1016.5 hPa;2022-05-21 16:50:03
Schöngrabern;251m;23.8°;41 %;Nordwest, 24 km/h;46 km/h;0.0 mm;100 %;1016.5 hPa;2022-05-21 16:50:03
Leiser Berge;458m;22.1°;43 %;Nordwest, 44 km/h;62 km/h;0.0 mm;88 %;1016.1 hPa;2022-05-21 16:50:03
Mistelbach;190m;24.2°;44 %;West, 13 km/h;35 km/h;0.0 mm;71 %;1016.3 hPa;2022-05-21 16:50:03
Wolkersdorf;186m;25.9°;35 %;Nordwest, 12 km/h;42 km/h;0.0 mm;97 %;1016.1 hPa;2022-05-21 16:50:03
Stockerau;205m;24.9°;31 %;Nordwest, 21 km/h;49 km/h;0.0 mm;100 %;1016.5 hPa;2022-05-21 16:50:03
Gänserndorf;164m;25.1°;39 %;Nordwest, 28 km/h;45 km/h;0.0 mm;100 %;1015.9 hPa;2022-05-21 16:50:03
Zwerndorf;146m;24.6°;39 %;West, 22 km/h;41 km/h;0.0 mm;100 %;1016.3 hPa;2022-05-21 16:50:03
Groß-Enzersdorf;153m;25.9°;30 %;Nordwest, 25 km/h;47 km/h;0.0 mm;99 %;1016.2 hPa;2022-05-21 16:50:03
Langenlebarn;177m;25.5°;32 %;West, 32 km/h;45 km/h;0.0 mm;98 %;1016.6 hPa;2022-05-21 16:50:03
Buchberg;467m;21.9°;48 %;West, 50 km/h;80 km/h;0.0 mm;100 %;1016.4 hPa;2022-05-21 16:50:03
St. Pölten;270m;24.7°;38 %;Südwest, 25 km/h;59 km/h;0.0 mm;100 %;1016.9 hPa;2022-05-21 16:50:03
Melk;305m;23.2°;42 %;West, 35 km/h;58 km/h;n.v.;100 %;1017.6 hPa;2022-05-21 16:50:03
Amstetten;264m;24.2°;34 %;Nordwest, 16 km/h;42 km/h;0.0 mm;100 %;1017.8 hPa;2022-05-21 16:50:03
Wieselburg;259m;24.4°;35 %;West, 19 km/h;45 km/h;0.0 mm;100 %;1017.8 hPa;2022-05-21 16:50:03
