Bruckneudorf;166m;21.1°;46 %;Südost, 9 km/h;25 km/h;0.0 mm;28 %;1007.0 hPa;2022-05-23 19:50:03
Neusiedl am See;119m;21.4°;49 %;Süd, 11 km/h;27 km/h;0.0 mm;32 %;1007.3 hPa;2022-05-23 19:50:03
Podersdorf;116m;21.8°;44 %;Süd, 10 km/h;31 km/h;0.0 mm;41 %;n.v.;2022-05-23 19:50:03
Eisenstadt;182m;21.6°;45 %;Südost, 19 km/h;36 km/h;0.0 mm;97 %;1006.5 hPa;2022-05-23 19:50:03
Andau;119m;21.0°;50 %;Südost, 16 km/h;24 km/h;0.0 mm;46 %;1007.8 hPa;2022-05-23 19:50:03
Mattersburg;284m;20.4°;50 %;Süd, 13 km/h;32 km/h;0.0 mm;43 %;1006.3 hPa;2022-05-23 19:50:03
Neudorf/Landsee;429m;18.9°;57 %;Süd, 12 km/h;28 km/h;0.0 mm;71 %;n.v.;2022-05-23 19:50:03
Lutzmannsburg;200m;21.2°;49 %;Südost, 7 km/h;21 km/h;0.0 mm;100 %;1007.3 hPa;2022-05-23 19:50:03
Bernstein;633m;17.9°;63 %;Süd, 8 km/h;23 km/h;0.0 mm;82 %;1007.3 hPa;2022-05-23 19:50:03
Rechnitz;309m;20.6°;52 %;Süd, 11 km/h;19 km/h;0.0 mm;59 %;1007.7 hPa;2022-05-23 19:50:03
Bad Tatzmannsdorf;347m;20.1°;55 %;Süd, 6 km/h;16 km/h;0.0 mm;n.v.;n.v.;2022-05-23 19:50:03
Kroisegg;446m;19.7°;60 %;Süd, 6 km/h;19 km/h;0.0 mm;93 %;1007.3 hPa;2022-05-23 19:50:03
Kleinzicken;267m;20.8°;51 %;Süd, 7 km/h;19 km/h;0.0 mm;63 %;1007.6 hPa;2022-05-23 19:50:03
Wörterberg;404m;19.6°;57 %;Süd, 7 km/h;19 km/h;0.0 mm;94 %;1007.2 hPa;2022-05-23 19:50:03
Güssing;217m;21.6°;51 %;Südost, 6 km/h;16 km/h;0.0 mm;79 %;1007.2 hPa;2022-05-23 19:50:03
Bruckneudorf;166m;20.2°;46 %;Südost, 10 km/h;25 km/h;0.0 mm;28 %;1007.3 hPa;2022-05-23 20:50:04
Neusiedl am See;119m;20.4°;47 %;Südost, 9 km/h;23 km/h;0.0 mm;14 %;1007.6 hPa;2022-05-23 20:50:04
Podersdorf;116m;20.9°;47 %;Südost, 12 km/h;27 km/h;0.0 mm;32 %;n.v.;2022-05-23 20:50:04
Eisenstadt;182m;20.4°;49 %;Ost, 16 km/h;28 km/h;0.0 mm;36 %;1006.8 hPa;2022-05-23 20:50:04
Andau;119m;20.2°;51 %;Südost, 13 km/h;22 km/h;0.0 mm;19 %;1008.2 hPa;2022-05-23 20:50:04
Mattersburg;284m;19.2°;54 %;Südost, 7 km/h;23 km/h;0.0 mm;0 %;1006.7 hPa;2022-05-23 20:50:04
Neudorf/Landsee;429m;17.9°;62 %;Süd, 10 km/h;23 km/h;0.0 mm;25 %;n.v.;2022-05-23 20:50:04
Lutzmannsburg;200m;19.3°;57 %;Südost, 7 km/h;17 km/h;0.0 mm;29 %;1007.5 hPa;2022-05-23 20:50:04
Bernstein;633m;16.6°;66 %;Süd, 7 km/h;22 km/h;0.0 mm;22 %;1007.5 hPa;2022-05-23 20:50:04
Rechnitz;309m;18.3°;61 %;Süd, 6 km/h;21 km/h;0.0 mm;29 %;1008.2 hPa;2022-05-23 20:50:04
Bad Tatzmannsdorf;347m;19.0°;59 %;Süd, 4 km/h;18 km/h;0.0 mm;n.v.;n.v.;2022-05-23 20:50:04
Kroisegg;446m;18.1°;66 %;Südost, 6 km/h;15 km/h;0.0 mm;13 %;1007.6 hPa;2022-05-23 20:50:04
Kleinzicken;267m;18.9°;59 %;Südost, 7 km/h;14 km/h;0.0 mm;10 %;1008.1 hPa;2022-05-23 20:50:04
Wörterberg;404m;19.0°;60 %;Südost, 7 km/h;13 km/h;0.0 mm;5 %;1007.3 hPa;2022-05-23 20:50:04
Güssing;217m;20.4°;57 %;Südost, 4 km/h;13 km/h;0.0 mm;23 %;1007.5 hPa;2022-05-23 20:50:04
Bruckneudorf;166m;19.1°;49 %;Südost, 10 km/h;26 km/h;0.0 mm;0 %;1007.1 hPa;2022-05-23 21:50:03
Neusiedl am See;119m;19.2°;51 %;Südost, 7 km/h;18 km/h;0.0 mm;0 %;1007.4 hPa;2022-05-23 21:50:03
Podersdorf;116m;19.0°;56 %;Südost, 9 km/h;22 km/h;0.0 mm;0 %;n.v.;2022-05-23 21:50:03
Eisenstadt;182m;18.9°;57 %;Ost, 13 km/h;26 km/h;0.0 mm;0 %;1006.9 hPa;2022-05-23 21:50:03
Andau;119m;18.5°;54 %;Südost, 14 km/h;18 km/h;0.0 mm;0 %;1008.2 hPa;2022-05-23 21:50:03
Mattersburg;284m;18.8°;56 %;Südost, 9 km/h;21 km/h;0.0 mm;0 %;1006.8 hPa;2022-05-23 21:50:03
Neudorf/Landsee;429m;17.1°;64 %;Süd, 10 km/h;19 km/h;0.0 mm;0 %;n.v.;2022-05-23 21:50:03
Lutzmannsburg;200m;17.7°;63 %;Südost, 7 km/h;15 km/h;0.0 mm;0 %;1007.7 hPa;2022-05-23 21:50:03
